Country,GDP (US$Billion)
 United States,21433.23
 China[n 9],14342.93
 Japan,5082.47
 Germany,3861.12
 India,2891.58
 United Kingdom,2826.44
 France,2715.52
 Italy,2003.58
 Brazil,1847.80
 Canada,1741.50
 Russia[n 4],1692.93
 South Korea,1646.54
 Spain,1393.49
 Australia,1380.21
 Mexico,1256.44
 Indonesia,1119.19
 Netherlands,907.05
 Saudi Arabia,792.97
 Turkey,761.43
  Switzerland,731.43
 Iran,603.78
 Poland,595.86
 Thailand,542.02
 Belgium,533.10
 Sweden,530.88
 Nigeria,474.52
 Argentina,449.66
 Austria,445.08
 United Arab Emirates,421.14
 Norway,403.34
 Ireland,398.59
 Israel,395.10
 Singapore,372.07
 Hong Kong (China),365.71
 Malaysia,364.68
 Philippines,359.35
 South Africa,351.43
 Denmark,350.10
 Colombia,323.80
 Egypt,317.36
 Bangladesh,301.05
 Chile,282.32
 Finland,269.30
 Vietnam,261.92
 Pakistan,257.00
 Czech Republic,250.68
 Romania,250.08
 Portugal,238.79
 Peru,226.85
 Iraq,225.23
 New Zealand,206.94
 Greece,205.33
 Qatar,183.47
 Kazakhstan,181.67
 Algeria,171.16
 Hungary,163.47
 Ukraine,153.78
 Venezuela,134.96
 Kuwait,134.62
 Morocco,119.70
 Ecuador,107.44
 Cuba,105.35
 Slovakia,105.08
 Puerto Rico (United States),104.99
 Kenya,95.50
 Ethiopia,92.75
 Dominican Republic,88.94
 Angola,85.00
 Sri Lanka,84.01
 Myanmar,76.78
 Guatemala,76.71
 Oman,76.33
 Luxembourg,71.10
 Bulgaria,67.93
 Ghana,67.00
 Panama,66.79
 Belarus,63.08
 Costa Rica,61.77
 Tanzania,61.14
 Croatia,60.42
 Côte d'Ivoire,58.54
 Lebanon,56.41
 Uruguay,56.05
 Uzbekistan,57.92
 Lithuania,54.63
 Slovenia,54.17
 Macau (China),53.86
 Serbia,51.48
 Turkmenistan,48.28
 Azerbaijan,48.05
" Congo, Democratic Republic of the",47.32
 Jordan,44.50
 Bolivia,40.90
 Cameroon,38.86
 Tunisia,38.80
 Bahrain,38.57
 Paraguay,38.09
 Sudan,34.90
 Latvia,34.10
 Uganda,32.61
 Libya,32.60
 Estonia,31.47
   Nepal,30.71
 Cambodia,27.10
 El Salvador,27.02
 Honduras,25.10
 Papua New Guinea,24.97
 Yemen,24.94
 Cyprus,24.57
 Iceland,24.19
 Senegal,23.66
 Trinidad and Tobago,23.21
 Zambia,23.09
 Zimbabwe,21.44
 Syria,20.38
 Bosnia and Herzegovina,20.16
 Laos,18.82
 Botswana,18.34
 Afghanistan,17.88
 Georgia,17.74
 Mali,17.43
 Palestine,17.06
 Gabon,16.89
" Korea, North",16.33
 Burkina Faso,15.99
 Jamaica,15.83
 Mozambique,15.30
 Albania,15.28
 Malta,14.86
 Benin,14.40
 Mauritius,14.18
 Madagascar,14.10
 Mongolia,13.85
 Armenia,13.67
" Bahamas, The",13.58
 Brunei,13.47
 Niger,12.93
 North Macedonia,12.69
 Nicaragua,12.52
" Congo, Republic of the",12.40
 Namibia,12.37
 Guinea,12.35
 Moldova,11.96
 Chad,11.27
 Equatorial Guinea,11.02
 Rwanda,10.36
 New Caledonia (France),9.88
 Kyrgyzstan,8.45
 Tajikistan,8.33
 Malawi,8.10
 Haiti,8.05
 Kosovo,7.95
 Mauritania,7.59
 Monaco,7.42
 Bermuda (United Kingdom),7.36
 Togo,7.27
 Liechtenstein,6.80
 French Polynesia (France),6.02
 Cayman Islands (UK),6.02
 Maldives,5.64
 Montenegro,5.54
 Fiji,5.50
 Barbados,5.21
 Guyana,5.17
 South Sudan,4.96
 Eswatini,4.59
 Sierra Leone,4.12
 Suriname,3.70
 Aruba (Netherlands),3.29
 Djibouti,3.17
 Andorra,3.15
 Curaçao (Netherlands),3.10
 Greenland (Denmark),3.02
 Burundi,3.00
 Liberia,2.58
 Bhutan,2.56
 Lesotho,2.46
 Central African Republic,2.22
 Saint Lucia,2.12
 Timor-Leste,2.02
 Eritrea,1.98
 Cape Verde,1.98
 Belize,1.91
" Gambia, The",1.82
 Zanzibar (Tanzania),1.81
 Seychelles,1.70
 Antigua and Barbuda,1.66
 Somalia,1.63
 San Marino,1.60
 Guinea-Bissau,1.32
 Solomon Islands,1.30
 British Virgin Islands (United Kingdom),1.30
 Grenada,1.21
 Turks and Caicos Islands (United Kingdom),1.20
 Comoros,1.17
 Saint Kitts and Nevis,1.05
 Sint Maarten (Netherlands),1.01
 Vanuatu,0.91
 Samoa,0.84
 Saint Vincent and the Grenadines,0.83
 Dominica,0.58
 Tonga,0.51
 São Tomé and Príncipe,0.42
" Micronesia, Federated States of",0.41
 Cook Islands (New Zealand),0.38
 Anguilla (United Kingdom),0.38
 Palau,0.28
 Marshall Islands,0.24
 Kiribati,0.19
 Nauru,0.13
 Montserrat (United Kingdom),0.07
 Tuvalu,0.05
